"Time stamp","System power generated | (kW)"
"1379",175.956
"1380",27.7208
"1381",36.8638
"1382",118.163
"1383",1.15081
"1384",0.522818
"1385",-0.0162711
"1386",-0.0162711
"1387",-0.0162711
"1388",-0.0162711
"1389",-0.0162711
"1390",-0.0162711
"1391",-0.0162711
"1392",-0.0162711
"1393",-0.0162711
"1394",-0.0162711
"1395",-0.0162711
"1396",-0.0162711
"1397",-0.0162711
"1398",-0.0162711
"1399",-0.0162711
"1400",119.171
"1401",181.685
"1402",192.174
"1403",123.077
"1404",123.746
"1405",99.5357
"1406",139.004
"1407",94.561
"1408",4.28626
"1409",-0.0162711
"1410",-0.0162711
"1411",-0.0162711
"1412",-0.0162711
"1413",-0.0162711
"1414",-0.0162711
"1415",-0.0162711
"1416",-0.0162711
"1417",-0.0162711
"1418",-0.0162711
"1419",-0.0162711
"1420",-0.0162711
"1421",-0.0162711
"1422",-0.0162711
"1423",-0.0162711
"1424",116.569
"1425",202.605
"1426",209.244
"1427",206.197
"1428",202.184
"1429",193.215
"1430",65.1532
"1431",125.362
"1432",12.6663
"1433",-0.0162711
"1434",-0.0162711
"1435",-0.0162711
"1436",-0.0162711
"1437",-0.0162711
"1438",-0.0162711
"1439",-0.0162711
"1440",-0.0162711
"1441",-0.0162711
"1442",-0.0162711
"1443",-0.0162711
"1444",-0.0162711
"1445",-0.0162711
"1446",-0.0162711
"1447",-0.0162711
"1448",191.402
"1449",167.186
"1450",143.855
"1451",156.657
"1452",161.582
"1453",159.28
"1454",101.567
"1455",46.223
"1456",5.90167
"1457",-0.0162711
"1458",-0.0162711
"1459",-0.0162711
"1460",-0.0162711
"1461",-0.0162711
"1462",-0.0162711
"1463",-0.0162711
"1464",-0.0162711
"1465",-0.0162711
"1466",-0.0162711
"1467",-0.0162711
"1468",-0.0162711
"1469",-0.0162711
"1470",-0.0162711
"1471",-0.0162711
"1472",214.375
"1473",196.849
"1474",180.088
"1475",214.375
"1476",150.479
"1477",197.302
"1478",183.907
"1479",142.955
"1480",19.1392
"1481",-0.0162711
"1482",-0.0162711
"1483",-0.0162711
"1484",-0.0162711
"1485",-0.0162711
"1486",-0.0162711
"1487",-0.0162711
"1488",-0.0162711
"1489",-0.0162711
"1490",-0.0162711
"1491",-0.0162711
"1492",-0.0162711
